,Area_Name,Year,Subgroup,Rape_Cases_Reported
0,Ladakh,2001,Total Rape Victims,73
1,Ladakh,2002,Total Rape Victims,67
2,Ladakh,2003,Total Rape Victims,212
3,Ladakh,2004,Total Rape Victims,149
4,Ladakh,2005,Total Rape Victims,171
5,Ladakh,2006,Total Rape Victims,67
6,Ladakh,2007,Total Rape Victims,43
7,Ladakh,2008,Total Rape Victims,116
8,Ladakh,2009,Total Rape Victims,87
9,Ladakh,2010,Total Rape Victims,222
0,Andaman & Nicobar Islands,2001,Total Rape Victims,3
3,Andaman & Nicobar Islands,2002,Total Rape Victims,2
6,Andaman & Nicobar Islands,2003,Total Rape Victims,2
9,Andaman & Nicobar Islands,2004,Total Rape Victims,10
12,Andaman & Nicobar Islands,2005,Total Rape Victims,4
15,Andaman & Nicobar Islands,2006,Total Rape Victims,6
18,Andaman & Nicobar Islands,2007,Total Rape Victims,3
21,Andaman & Nicobar Islands,2008,Total Rape Victims,12
24,Andaman & Nicobar Islands,2009,Total Rape Victims,18
27,Andaman & Nicobar Islands,2010,Total Rape Victims,24
30,Andhra Pradesh,2001,Total Rape Victims,871
33,Andhra Pradesh,2002,Total Rape Victims,1002
36,Andhra Pradesh,2003,Total Rape Victims,946
39,Andhra Pradesh,2004,Total Rape Victims,1016
42,Andhra Pradesh,2005,Total Rape Victims,935
45,Andhra Pradesh,2006,Total Rape Victims,1049
48,Andhra Pradesh,2007,Total Rape Victims,1070
51,Andhra Pradesh,2008,Total Rape Victims,1257
54,Andhra Pradesh,2009,Total Rape Victims,1188
57,Andhra Pradesh,2010,Total Rape Victims,1362
60,Arunachal Pradesh,2001,Total Rape Victims,33
63,Arunachal Pradesh,2002,Total Rape Victims,38
66,Arunachal Pradesh,2003,Total Rape Victims,31
69,Arunachal Pradesh,2004,Total Rape Victims,42
72,Arunachal Pradesh,2005,Total Rape Victims,35
75,Arunachal Pradesh,2006,Total Rape Victims,37
78,Arunachal Pradesh,2007,Total Rape Victims,48
81,Arunachal Pradesh,2008,Total Rape Victims,42
84,Arunachal Pradesh,2009,Total Rape Victims,59
87,Arunachal Pradesh,2010,Total Rape Victims,47
90,Assam,2001,Total Rape Victims,817
93,Assam,2002,Total Rape Victims,970
96,Assam,2003,Total Rape Victims,1095
99,Assam,2004,Total Rape Victims,1171
102,Assam,2005,Total Rape Victims,1238
105,Assam,2006,Total Rape Victims,1244
108,Assam,2007,Total Rape Victims,1437
111,Assam,2008,Total Rape Victims,1438
114,Assam,2009,Total Rape Victims,1631
117,Assam,2010,Total Rape Victims,1721
120,Bihar,2001,Total Rape Victims,888
123,Bihar,2002,Total Rape Victims,1040
126,Bihar,2003,Total Rape Victims,985
129,Bihar,2004,Total Rape Victims,1390
132,Bihar,2005,Total Rape Victims,1147
135,Bihar,2006,Total Rape Victims,1232
138,Bihar,2007,Total Rape Victims,1555
141,Bihar,2008,Total Rape Victims,1302
144,Bihar,2009,Total Rape Victims,929
147,Bihar,2010,Total Rape Victims,795
150,Chandigarh,2001,Total Rape Victims,18
153,Chandigarh,2002,Total Rape Victims,18
156,Chandigarh,2003,Total Rape Victims,18
